,ghi,dni,dhi,temp_air,wind_speed,mydatetime,myTZtimestamp,Rad1h,TTT,PPPP,FF,Rad1wh,Rad1Energy,mytimestamp,ACSim,CellTempSim,DCSim
2020-10-23 04:00:00+00:00,0.0,0.0,0.0,28.119999999999997,1.03,2020-10-23T04:00:00.000Z,2020-10-23 04:00:00,0.0,28.119999999999997,101260.0,1.03,0.0,0.0,1603422000.0,-0.9,28.119999999999997,-0.0
2020-10-23 05:00:00+00:00,0.0,0.0,0.0,28.119999999999997,1.54,2020-10-23T05:00:00.000Z,2020-10-23 05:00:00,0.0,28.119999999999997,101220.0,1.54,0.0,0.0,1603425600.0,-0.9,28.119999999999997,-0.0
2020-10-23 06:00:00+00:00,0.0,0.0,0.0,28.119999999999997,1.54,2020-10-23T06:00:00.000Z,2020-10-23 06:00:00,0.0,28.119999999999997,101210.0,1.54,0.0,0.0,1603429200.0,-0.9,28.119999999999997,-0.0
2020-10-23 07:00:00+00:00,2.7777800000000004,0.0,2.777221398887441,28.22,1.54,2020-10-23T07:00:00.000Z,2020-10-23 07:00:00,10.0,28.22,101210.0,1.54,2.7777800000000004,23.90330801152,1603432800.0,-0.9,28.29257771215299,19.00121038652018
2020-10-23 08:00:00+00:00,13.888900000000001,0.0,13.87493497218602,28.42,1.54,2020-10-23T08:00:00.000Z,2020-10-23 08:00:00,50.0,28.42,101210.0,1.54,13.888900000000001,119.51654005760001,1603436400.0,76.51991465167995,28.78260060844067,103.08656518818944
2020-10-23 09:00:00+00:00,38.888920000000006,0.0,38.7794341819384,28.72,1.54,2020-10-23T09:00:00.000Z,2020-10-23 09:00:00,140.0,28.72,101210.0,1.54,38.888920000000006,334.64631216128004,1603440000.0,274.93020611352307,29.733467603990924,301.5095900685336
2020-10-23 10:00:00+00:00,61.111160000000005,0.0,60.84079706152133,28.92,1.54,2020-10-23T10:00:00.000Z,2020-10-23 10:00:00,220.0,28.92,101200.0,1.54,61.111160000000005,525.8727762534401,1603443600.0,454.75849239362185,30.51005796867495,481.17920132558686
2020-10-23 11:00:00+00:00,77.77784000000001,0.0,77.33989672775357,29.32,1.54,2020-10-23T11:00:00.000Z,2020-10-23 11:00:00,280.0,29.32,101180.0,1.54,77.77784000000001,669.2926243225601,1603447200.0,589.5359289179903,31.341291342426,615.9035529879349
2020-10-23 12:00:00+00:00,91.66674,0.0,91.058423388423,29.52,1.54,2020-10-23T12:00:00.000Z,2020-10-23 12:00:00,330.0,29.52,101160.0,1.54,91.66674,788.80916438016,1603450800.0,702.1002689378174,31.89986061832678,728.478460120835
2020-10-23 13:00:00+00:00,91.66674,0.0,91.058423388423,29.72,1.54,2020-10-23T13:00:00.000Z,2020-10-23 13:00:00,330.0,29.72,101140.0,1.54,91.66674,788.80916438016,1603454400.0,701.4490057336926,32.09986061832678,727.8506330096177
